Number,Total,HDBDwellings_TotalHDB1,HDBDwellings_1_And2_RoomFlats2,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomAndExecutiveFlats,Condo_MiniumsAndOtherApartments,LandedProperties,Others
Clementi Woods,16400,13610,1530,3130,5640,3300,2060,300,440
Faber,4320,na,na,na,na,na,2730,1520,70
Pandan,10,na,na,na,na,na,na,na,na
Sunset Way,6290,3560,na,240,1270,2050,1830,860,30
Toh Tuck,40,na,na,na,na,na,na,na,na
West Coast,5890,na,na,na,na,na,3940,1940,10
Downtown Core- Total,3720,2220,na,1190,1010,20,1050,na,450
Anson,80,na,na,na,na,na,na,na,na
Bayfront Subzone,na,na,na,na,na,na,na,na,na
Bugis,2330,2220,na,1190,1010,20,20,na,90
Cecil,160,na,na,na,na,na,120,na,40
Central Subzone,480,na,na,na,na,na,450,na,20
City Hall,60,na,na,na,na,na,na,na,na
Clifford Pier,na,na,na,na,na,na,na,na,na
Marina Centre,20,na,na,na,na,na,na,na,na
Maxwell,na,na,na,na,na,na,na,na,na
Phillip,na,na,na,na,na,na,na,na,na
Raffles Place,60,na,na,na,na,na,na,na,na
Tanjong Pagar,520,na,na,na,na,na,420,na,100
Geylang- Total,116960,90190,10290,30910,32380,16600,17940,6600,2240
Aljunied,41710,29920,2340,10650,10000,6920,9940,560,1290
Geylang East,33380,21290,2310,7130,7590,4260,7370,4190,530
Kallang Way,40,na,na,na,na,na,na,na,na
Kampong Ubi,13210,13050,na,1120,9770,2150,na,na,160
Macpherson,28630,25930,5640,12000,5020,3270,630,1850,220
Hougang- Total,222310,173930,4260,26730,87490,55450,21630,22610,4160
Defu Industrial Park,20,na,na,na,na,na,na,na,na
Hougang Central,4830,3890,na,90,1560,2240,na,900,40
Hougang East,21940,21920,na,1170,13400,7340,na,na,20
Hougang West,50120,49800,na,8890,27980,12930,na,na,320
Kangkar,26080,19030,1020,5410,8200,4390,6560,370,120
Kovan,25640,4420,na,780,2560,1080,8820,12050,350
Lorong Ah Soo,34180,27440,na,8970,11080,7390,2770,3690,280
Lorong Halus,na,na,na,na,na,na,na,na,na
Tai Seng,14700,9600,1490,550,5100,2460,530,4160,420
Trafalgar,44800,37820,1760,860,17600,17600,2960,1430,2600
Jurong East- Total,84980,77650,2120,18500,28080,28950,6930,na,400
International Business Park,10,na,na,na,na,na,na,na,na
Jurong Gateway,20,na,na,na,na,na,na,na,na
Jurong Port,10,na,na,na,na,na,na,na,na
Jurong River,10,na,na,na,na,na,na,na,na
Lakeside,1010,na,na,na,na,na,1000,na,na
Penjuru Crescent,10,na,na,na,na,na,na,na,na
Teban Gardens,19080,19050,210,4740,8750,5340,na,na,30
Toh Guan,16510,16510,na,670,6060,9780,na,na,na
Yuhua East,27460,24460,na,9020,7620,7830,2860,na,140
Yuhua West,20870,17630,1910,4070,5650,6010,3060,na,180
Jurong West- Total,272660,255650,7110,35750,106470,106320,12270,4400,350
Boon Lay Place,31100,29820,4540,15500,4640,5140,1240,na,50
Chin Bee,na,na,na,na,na,na,na,na,na
Hong Kah,56870,53800,560,12870,26150,14220,2930,na,140
Jurong West Central,68200,67050,na,na,25820,41230,1150,na,na
Kian Teck,50,na,na,na,na,na,na,na,na
Safti,na,na,na,na,na,na,na,na,na
Taman Jurong,36940,31650,1790,4940,12750,12160,4560,690,50
Wenya,8610,8600,na,na,3350,5250,na,na,10
Yunnan,70890,64730,220,2440,33760,28310,2400,3720,50
Kallang- Total,101210,81330,12660,27750,25330,15590,16740,1500,1650
Bendemeer,33830,29040,1730,9280,11810,6220,3640,670,480
Boon Keng,10970,10730,1020,2500,4540,2670,40,140,60
Crawford,9740,9170,4860,2690,860,750,450,na,120
Geylang Bahru,12870,12760,1320,7750,1490,2200,na,na,100
Kallang Bahru,30,na,na,na,na,na,na,na,na
Kampong Bugis,890,760,na,na,640,130,110,na,20
Kampong Java,11260,7940,410,1980,3850,1700,2540,630,140
Lavender,10320,6810,2750,1380,1690,980,2920,30,550
Tanjong Rhu,11310,4120,570,2160,450,940,7040,10,150
Lim Chu Kang- Total,90,na,na,na,na,na,na,na,na
Lim Chu Kang,90,na,na,na,na,na,na,na,na
Mandai- Total,2120,na,na,na,na,na,1240,780,90
Mandai East,na,na,na,na,na,na,na,na,na
Mandai Estate,2120,na,na,na,na,na,1240,780,90
Mandai West,na,na,na,na,na,na,na,na,na
Marina East- Total,na,na,na,na,na,na,na,na,na
Marina East,na,na,na,na,na,na,na,na,na
Marina South- Total,na,na,na,na,na,na,na,na,na
Marina South,na,na,na,na,na,na,na,na,na
Marine Parade- Total,48730,21690,3740,6910,5360,5690,17000,9490,550
East Coast,na,na,na,na,na,na,na,na,na
Katong,9620,na,na,na,na,na,4960,4340,320
Marina East (MP),na,na,na,na,na,na,na,na,na
Marine Parade,28910,21690,3740,6910,5360,5690,6980,120,120
Mountbatten,10210,na,na,na,na,na,5060,5040,110
Museum- Total,380,na,na,na,na,na,350,na,20
Bras Basah,10,na,na,na,na,na,na,na,na
Dhoby Ghaut,210,na,na,na,na,na,200,na,10
Fort Canning,160,na,na,na,na,na,150,na,10
Newton- Total,6920,na,na,na,na,na,6130,550,240
Cairnhill,3330,na,na,na,na,na,2760,430,150
Goodwood Park,910,na,na,na,na,na,760,90,50
Istana Negara,40,na,na,na,na,na,na,na,na
Monk'S Hill,980,na,na,na,na,na,960,na,20
Newton Circus,230,na,na,na,na,na,200,20,na
Orange Grove,1440,na,na,na,na,na,1430,na,na
North-Eastern Islands- Total,60,na,na,na,na,na,na,na,na
North-Eastern Islands,60,na,na,na,na,na,na,na,na
Novena- Total,47990,21890,2220,7890,6700,5090,17650,7320,1120
Balestier,32340,21690,2220,7890,6490,5090,9220,530,900
Dunearn,3900,na,na,na,na,na,840,3040,20
Malcolm,2630,na,na,na,na,na,720,1830,80
Moulmein,8470,200,na,na,200,na,6870,1280,110
Mount Pleasant,650,na,na,na,na,na,na,640,10
Orchard- Total,920,na,na,na,na,na,830,na,90
Boulevard,400,na,na,na,na,na,340,na,60
Somerset,130,na,na,na,na,na,110,na,20
Tanglin,390,na,na,na,na,na,380,na,10
Outram- Total,22080,19690,6480,5600,5350,2270,1820,na,570
China Square,1590,1530,na,1460,na,70,50,na,10
Chinatown,11880,11260,1140,2900,5040,2170,330,na,280
Pearl'S Hill,8230,6900,5330,1240,300,20,1060,na,270
People'S Park,390,na,na,na,na,na,380,na,10
Pasir Ris- Total,139890,108330,1200,520,41280,65330,23420,7480,660
Flora Drive,12950,na,na,na,na,na,9110,3460,390
Loyang East,2190,na,na,na,na,na,940,1230,20
Loyang West,200,na,na,na,na,na,na,na,200
Pasir Ris Central,25730,20830,330,520,5870,14120,4520,370,na
Pasir Ris Drive,59480,57680,870,na,24310,32510,1790,na,10
Pasir Ris Park,2980,na,na,na,na,na,2700,270,10
Pasir Ris Wafer Fab Park,20,na,na,na,na,na,na,na,na
Pasir Ris West,36330,29810,na,na,11110,18700,4360,2150,10
Paya Lebar- Total,40,na,na,na,na,na,na,na,na
Airport Road,na,na,na,na,na,na,na,na,na
Paya Lebar East,10,na,na,na,na,na,na,na,na
Paya Lebar North,20,na,na,na,na,na,na,na,na
Paya Lebar West,na,na,na,na,na,na,na,na,na
Plab,na,na,na,na,na,na,na,na,na
Pioneer- Total,100,na,na,na,na,na,na,na,na
Benoi Sector,na,na,na,na,na,na,na,na,na
Gul Basin,20,na,na,na,na,na,na,na,na
Gul Circle,30,na,na,na,na,na,na,na,na
Joo Koon,40,na,na,na,na,na,na,na,na
Pioneer Sector,na,na,na,na,na,na,na,na,na
Punggol- Total,109750,105740,4660,6530,48970,45590,3480,280,250
Coney Island,na,na,na,na,na,na,na,na,na
Matilda,30440,28430,1960,3180,14160,9130,2000,na,10
Northshore,280,na,na,na,na,na,na,280,10
Punggol Canal,na,na,na,na,na,na,na,na,na
Punggol Field,43300,43070,na,na,13070,29990,na,na,230
Punggol Town Centre,7390,7390,na,880,5750,760,na,na,10
Waterway East,28340,26860,2700,2470,15990,5700,1490,na,na
Queenstown- Total,98050,81870,9070,34190,24290,14320,11140,3740,1300
Commonwealth,8130,8100,1890,5930,280,na,na,na,30
Dover,13200,10620,490,3280,3810,3050,2340,40,190
Ghim Moh,11900,11850,1970,4790,2800,2290,na,na,50
Holland Drive,14230,14150,640,6360,4690,2470,na,10,60
Kent Ridge,1080,na,na,na,na,na,1000,70,10
Margaret Drive,10520,10480,290,480,6660,3060,10,10,20
Mei Chin,16750,13550,1950,5790,2930,2880,2820,220,160
National University Of S'Pore,360,na,na,na,na,na,na,na,360
One North,620,na,na,na,na,na,540,40,30
Pasir Panjang 1,4010,na,na,na,na,na,2470,1450,80
Pasir Panjang 2,3520,na,na,na,na,na,1680,1770,60
Port,140,na,na,na,na,na,20,100,20
Queensway,280,na,na,na,na,na,250,20,10
Singapore Polytechnic,160,na,na,na,na,na,na,na,160
Tanglin Halt,13160,13110,1840,7570,3130,570,na,na,50
River Valley- Total,9190,na,na,na,na,na,8310,770,120
Institution Hill,3380,na,na,na,na,na,3320,40,20
Leonie Hill,2450,na,na,na,na,na,2350,50,50
One Tree Hill,1840,na,na,na,na,na,1290,550,na
Oxley,1380,na,na,na,na,na,1200,140,40
Paterson,150,na,na,na,na,na,140,10,na
Rochor- Total,14590,11370,820,4980,4770,800,2010,150,1060
Bencoolen,1460,1070,40,900,130,na,330,na,70
Farrer Park,3130,2730,na,320,1980,430,80,30,290
Kampong Glam,170,na,na,na,na,na,30,na,150
Little India,3850,3350,na,1390,1690,280,80,30,400
Mackenzie,110,na,na,na,na,na,100,na,10
Mount Emily,1110,na,na,na,na,na,1000,60,40
Rochor Canal,10,na,na,na,na,na,na,na,na
Selegie,270,na,na,na,na,na,220,30,20
Sungei Road,2420,2390,780,1160,410,40,na,na,30
Victoria,2060,1840,na,1220,570,50,170,na,50
Seletar- Total,270,na,na,na,na,na,na,250,20
Pulau Punggol Barat,na,na,na,na,na,na,na,na,na
Pulau Punggol Timor,na,na,na,na,na,na,na,na,na
Seletar,260,na,na,na,na,na,na,250,na
Seletar Aerospace Park,20,na,na,na,na,na,na,na,na
Sembawang- Total,76530,70010,1760,930,29150,38170,2170,3770,580
Admiralty,14410,14390,1210,670,5810,6700,na,na,20
Sembawang Central,29140,28780,na,na,11100,17680,180,na,180
Sembawang East,90,na,na,na,na,na,na,na,na
Sembawang North,26860,26840,550,250,12240,13800,na,na,20
Sembawang Springs,4290,na,na,na,na,na,1970,2010,320
Sembawang Straits,1700,na,na,na,na,na,20,1680,na
Senoko North,20,na,na,na,na,na,na,na,na
Senoko South,20,na,na,na,na,na,na,na,na
The Wharves,na,na,na,na,na,na,na,na,na
Sengkang- Total,206680,193280,5430,7320,88840,91690,11340,1570,490
Anchorvale,38040,38030,990,930,13770,22350,na,na,na
Compassvale,18510,15170,310,360,12710,1800,3320,na,20
Fernvale,35590,34110,2250,4560,19970,7330,70,1060,360
Lorong Halus North,na,na,na,na,na,na,na,na,na
Rivervale,59860,53010,1740,680,21350,29230,6590,260,na
Sengkang Town Centre,54680,52960,160,790,21040,30970,1360,250,100
Sengkang West,10,na,na,na,na,na,na,na,na
Serangoon- Total,120670,70420,1060,11140,35320,22890,13600,35530,1130
Lorong Chuan,8390,na,na,na,na,na,3970,4260,170
Seletar Hills,13580,na,na,na,na,na,1540,11970,60
Serangoon Central,26480,21470,na,4340,11870,5260,3630,1260,120
Serangoon Garden,39180,21440,690,5140,11210,4410,2030,15090,620
Serangoon North,17490,17470,na,na,7000,10470,na,na,10
Serangoon North Ind Estate,20,na,na,na,na,na,na,na,na
Upper Paya Lebar,15540,10030,360,1660,5250,2750,2440,2950,130
Simpang- Total,na,na,na,na,na,na,na,na,na
Pulau Seletar,na,na,na,na,na,na,na,na,na
Simpang North,na,na,na,na,na,na,na,na,na
Simpang South,na,na,na,na,na,na,na,na,na
Tanjong Irau,na,na,na,na,na,na,na,na,na
Singapore River- Total,2720,na,na,na,na,na,2560,na,170
Boat Quay,180,na,na,na,na,na,120,na,60
Clarke Quay,130,na,na,na,na,na,50,na,80
Robertson Quay,2420,na,na,na,na,na,2390,na,30
Southern Islands- Total,1480,na,na,na,na,na,890,550,40
Sentosa,1470,na,na,na,na,na,890,550,40
Southern Group,na,na,na,na,na,na,na,na,na
Straits View- Total,na,na,na,na,na,na,na,na,na
Straits View,na,na,na,na,na,na,na,na,na
Sungei Kadut- Total,850,na,na,na,na,na,na,660,190
Gali Batu,130,na,na,na,na,na,na,na,130
Kranji,20,na,na,na,na,na,na,na,na
Pang Sua,20,na,na,na,na,na,na,na,na
Reservoir View,20,na,na,na,na,na,na,na,na
Turf Club,660,na,na,na,na,na,na,660,na
Tampines- Total,261230,231850,4820,35290,103340,88400,23540,4630,1220
Simei,42710,25660,na,190,12820,12640,12660,4120,280
Tampines East,138500,134030,3680,25250,54780,50320,3940,na,530
Tampines North,na,na,na,na,na,na,na,na,na
Tampines West,78110,72170,1150,9840,35740,25440,5560,na,390
Xilin,1920,na,na,na,na,na,1380,510,30
Tanglin- Total,19000,520,na,40,210,270,14020,4160,300
Chatsworth,5740,na,na,na,na,na,4600,1000,140
Nassim,8340,na,na,na,na,na,6700,1530,110
Ridout,1400,na,na,na,na,na,580,790,40
Tyersall,3520,520,na,40,210,270,2150,840,20
Tengah- Total,10,na,na,na,na,na,na,na,na
Tengah,10,na,na,na,na,na,na,na,na
Toa Payoh- Total,124940,109040,11520,38300,31270,25010,8340,5870,1690
Bidadari,10,na,na,na,na,na,na,na,na
Boon Teck,15110,14810,5530,4210,1320,3760,na,na,300
Braddell,10760,9690,1730,3160,2050,2750,1030,na,50
Joo Seng,6720,4750,na,920,1810,2020,380,1430,170
Kim Keat,8610,8550,60,3520,2800,2170,na,na,60
Lorong 8 Toa Payoh,8220,8150,500,2360,3230,2050,na,na,70
Pei Chun,11780,11670,500,5850,3070,2250,na,na,110
Potong Pasir,12650,10710,na,5440,4080,1190,1780,60,110
Sennett,4540,na,na,na,na,na,180,4130,230
Toa Payoh Central,30740,28540,2950,5400,11940,8240,2020,na,190
Toa Payoh West,13360,12180,240,7440,970,590,850,na,330
Woodleigh,2440,na,na,na,na,na,2120,250,70
Tuas- Total,70,na,na,na,na,na,na,na,na
Tengeh,na,na,na,na,na,na,na,na,na
Tuas Bay,20,na,na,na,na,na,na,na,na
Tuas North,20,na,na,na,na,na,na,na,na
Tuas Promenade,10,na,na,na,na,na,na,na,na
Tuas View,10,na,na,na,na,na,na,na,na
Tuas View Extension,na,na,na,na,na,na,na,na,na
Western Islands- Total,na,na,na,na,na,na,na,na,na
Jurong Island And Bukom,na,na,na,na,na,na,na,na,na
Semakau,na,na,na,na,na,na,na,na,na
Sudong,na,na,na,na,na,na,na,na,na
Western Water Catchment- Total,900,na,na,na,na,na,na,na,900
Western Water Catchment,900,na,na,na,na,na,na,na,900
Woodlands- Total,250290,238570,7080,19040,106880,105570,10070,620,1030
Greenwood Park,70,na,na,na,na,na,na,na,na
Midview,35510,35300,960,1080,15170,18090,na,na,220
North Coast,14610,14550,160,5940,6100,2350,na,na,50
Senoko West,20,na,na,na,na,na,na,na,na
Woodgrove,35850,30340,na,1900,13900,14540,4570,610,330
Woodlands East,95510,91320,530,610,47490,42690,4170,na,20
Woodlands Regional Centre,na,na,na,na,na,na,na,na,na
Woodlands South,35840,34450,1760,580,13010,19090,1330,na,60
Woodlands West,32890,32610,3660,8930,11210,8820,na,na,270
Yishun- Total,201970,186770,4130,39960,99030,43660,8970,5290,950
Khatib,10850,10810,na,1830,4660,4320,na,na,30
Lower Seletar,2870,1370,na,180,720,480,400,1100,na
Nee Soon,900,na,na,na,na,na,430,460,10
Northland,30380,30280,30,7260,16730,6260,na,na,100
Springleaf,3880,na,na,na,na,na,100,3730,50
Yishun Central,1490,1490,na,na,830,660,na,na,na
Yishun East,54880,52880,2620,6500,31020,12740,1990,na,10
Yishun South,38840,36090,na,3710,19680,12700,2510,na,250
Yishun West,57890,53850,1480,20480,25390,6500,3540,na,500
